61	7.307    4.488        	14.0929      83.7645      	40     9      	   2.2460  -2.2547   0.8114
62	13.769   7.503        	57.9999      38.9789      	76     15     	  -2.2489  -2.2500   2.1407
63	4.916    4.077        	8.0808       6.63963      	27     8      	  -2.2533   2.2406   0.0978
64	4.885    3.583        	9.27552      8.1296       	27     7      	  -2.2592  -2.2429  -0.3703
65	5.825    3.604        	22.0309      26.1585      	32     7      	  -2.2520  -2.2586  -1.1902
66	3.975    7.448        	63.3237      52.5553      	22     17     	  -2.2534   1.0693   2.2490
68	4.55     6.668        	58.9815      42.027       	25     16     	  -2.2468   2.2576  -1.6756
69	5.938    8.533        	64.27        41.1446      	33     18     	  -2.2565   2.0733   2.2429
70	7.533    6.81         	15.5631      16.2144      	41     15     	   2.2535  -2.2563   0.8991
71	2.714    4.664        	63.0908      53.8938      	15     9      	  -2.2404  -2.2150  -2.2557
72	6.009    4.569        	20.0616      23.1282      	33     11     	  -2.2433  -2.2471  -1.0897
74	3.843    3.542        	56.4611      56.5773      	21     7      	  -1.5151   2.2406   2.2454
75	1.833    5.433        	28.2988      49.6514      	10     15     	  -0.8276  -2.2470   2.2548
76	6.412    4.888        	15.3558      16.2025      	35     10     	  -2.2476  -2.2550  -0.8539
78	3.252    6.491        	57.5529      45.0748      	18     13     	   2.2479   2.2537  -1.8002
79	1.654    3.094        	25.928       29.8453      	9      6      	   2.2507   0.5003  -2.2467
80	1.67     2.811        	24.4794      28.2484      	9      6      	  -0.0030   2.2436  -2.2528
81	3.881    5.554        	59.6366      59.8581      	21     11     	  -2.2459   1.7763  -2.2588
82	5.297    5.346        	59.505       46.4577      	29     11     	  -1.8400   2.2596  -2.2403
83	6.825    5.108        	10.7215      9.50382      	37     12     	   2.2545  -2.2430   0.5680
84	2.948    7.195        	24.3976      49.403       	16     17     	  -0.7004  -2.2579   2.2441
85	1.671    2.833        	24.5951      28.3276      	9      7      	   0.1314  -2.2517  -2.2485
86	2.698    9.654        	59.6714      24.7135      	15     22     	   2.2452   2.2547   1.3915
87	4.203    7.783        	51.9581      52.0232      	23     16     	  -2.2546   2.2458   1.9277
88	1.824    4.697        	23.8606      22.0611      	10     9      	  -2.2568  -0.2262   2.2530
89	7.042    5.408        	16.6497      17.8373      	39     17     	   2.2574  -2.2520   0.9599
90	3.105    3.549        	59.4603      48.6741      	17     7      	   1.5565   2.2478  -2.2558
91	4.78     5.31         	58.0547      59.7499      	26     11     	   2.2413  -2.2518  -1.7496
92	3.26     5.004        	59.5303      75.6361      	18     10     	  -2.2487  -1.5066  -2.2477
93	3.458    3.982        	64.9033      45.95        	19     8      	  -2.1106  -2.2572  -2.2535
94	5.1      14.167       	9.77945      10337.1      	28     100    	  -2.2588   2.2452  -0.4373
95	2.945    2.537        	25.1026      36.5571      	16     5      	  -2.2448  -0.7630   2.2510
96	11.664   7.343        	48.7388      55.73        	64     17     	  -1.3417   2.2584   2.2425
97	7.277    5.727        	59.7465      55.4357      	39     12     	   1.3003  -2.2495  -2.2456
